street,city,state,beds,baths,sq__ft,type,price
3526 HIGH ST,SACRAMENTO,CA,2,1,836,Residential,59222
51 OMAHA CT,SACRAMENTO,CA,3,1,1167,Residential,68212
2796 BRANCH ST,SACRAMENTO,CA,2,1,796,Residential,68880
2805 JANETTE WAY,SACRAMENTO,CA,2,1,852,Residential,69307
6001 MCMAHON DR,SACRAMENTO,CA,2,1,797,Residential,81900
5828 PEPPERMILL CT,SACRAMENTO,CA,3,1,1122,Condo,89921
6048 OGDEN NASH WAY,SACRAMENTO,CA,3,2,1104,Residential,90895
2561 19TH AVE,SACRAMENTO,CA,3,1,1177,Residential,91002
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,CA,2,2,941,Condo,94905
7325 10TH ST,RIO LINDA,CA,3,2,1146,Residential,98937
645 MORRISON AVE,SACRAMENTO,CA,3,2,909,Residential,100309
4085 FAWN CIR,SACRAMENTO,CA,3,2,1289,Residential,106250
2930 LA ROSA RD,SACRAMENTO,CA,1,1,871,Residential,106852
2113 KIRK WAY,SACRAMENTO,CA,3,1,1020,Residential,107502
4533 LOCH HAVEN WAY,SACRAMENTO,CA,2,2,1022,Residential,108750
7340 HAMDEN PL,SACRAMENTO,CA,2,2,1134,Condo,110700
6715 6TH ST,RIO LINDA,CA,2,1,844,Residential,113263
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,CA,2,1,795,Condo,116250
250 PERALTA AVE,SACRAMENTO,CA,2,1,588,Residential,120000
113 LEEWILL AVE,RIO LINDA,CA,3,2,1356,Residential,121630
6118 STONEHAND AVE,CITRUS HEIGHTS,CA,3,2,1118,Residential,122000
4882 BANDALIN WAY,SACRAMENTO,CA,4,2,1329,Residential,122682
7511 OAKVALE CT,NORTH HIGHLANDS,CA,4,2,1240,Residential,123000
9 PASTURE CT,SACRAMENTO,CA,3,2,1601,Residential,124100
3729 BAINBRIDGE DR,NORTH HIGHLANDS,CA,3,2,901,Residential,125000
3828 BLACKFOOT WAY,ANTELOPE,CA,3,2,1088,Residential,126640
4108 NORTON WAY,SACRAMENTO,CA,3,1,963,Residential,127281
1469 JANRICK AVE,SACRAMENTO,CA,3,2,1119,Residential,129000
9861 CULP WAY,SACRAMENTO,CA,4,2,1380,Residential,131200
7825 CREEK VALLEY CIR,SACRAMENTO,CA,3,2,1248,Residential,132000
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,CA,2,2,1039,Condo,133000
6768 MEDORA DR,NORTH HIGHLANDS,CA,3,2,1152,Residential,134555
3100 EXPLORER DR,SACRAMENTO,CA,3,2,1380,Residential,136500
7944 DOMINION WAY,ELVERTA,CA,3,2,1116,Residential,138750
5201 LAGUNA OAKS DR Unit 162,ELK GROVE,CA,2,2,1039,Condo,141000
3920 SHINING STAR DR,SACRAMENTO,CA,3,2,1418,Residential,146250
5031 CORVAIR ST,NORTH HIGHLANDS,CA,3,2,1082,Residential,147308
7661 NIXOS WAY,SACRAMENTO,CA,4,2,1472,Residential,148750
7044 CARTHY WAY,SACRAMENTO,CA,4,2,1146,Residential,149593
2442 LARKSPUR LN,SACRAMENTO,CA,1,1,760,Condo,150000
4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,CA,2,2,1304,Condo,152000
2178 63RD AVE,SACRAMENTO,CA,3,2,1207,Residential,154000
8718 ELK WAY,ELK GROVE,CA,3,2,1056,Residential,156896
5708 RIDGEPOINT DR,ANTELOPE,CA,2,2,1043,Residential,161250
7315 KOALA CT,NORTH HIGHLANDS,CA,4,2,1587,Residential,161500
2622 ERIN DR,SACRAMENTO,CA,4,1,1120,Residential,164000
8421 SUNBLAZE WAY,SACRAMENTO,CA,4,2,1580,Residential,165000
7420 ALIX PKWY,SACRAMENTO,CA,4,1,1955,Residential,166357
3820 NATOMA WAY,SACRAMENTO,CA,4,2,1656,Residential,166357
4431 GREEN TREE DR,SACRAMENTO,CA,3,2,1477,Residential,168000
9417 SARA ST,ELK GROVE,CA,3,2,1188,Residential,170000
8299 HALBRITE WAY,SACRAMENTO,CA,4,2,1590,Residential,173000
7223 KALLIE KAY LN,SACRAMENTO,CA,3,2,1463,Residential,174250
8156 STEINBECK WAY,SACRAMENTO,CA,4,2,1714,Residential,174313
7957 VALLEY GREEN DR,SACRAMENTO,CA,3,2,1185,Residential,178480
1122 WILD POPPY CT,GALT,CA,3,2,1406,Residential,178760
4520 BOMARK WAY,SACRAMENTO,CA,4,2,1943,Multi-Family,179580
9012 KIEFER BLVD,SACRAMENTO,CA,3,2,1172,Residential,181000
5332 SANDSTONE ST,CARMICHAEL,CA,3,1,1152,Residential,181872
5993 SAWYER CIR,SACRAMENTO,CA,4,3,1851,Residential,182587
4844 CLYDEBANK WAY,ANTELOPE,CA,3,2,1215,Residential,182716
306 CAMELLIA WAY,GALT,CA,3,2,1130,Residential,182750
9021 MADISON AVE,ORANGEVALE,CA,4,2,1603,Residential,183200
404 6TH ST,GALT,CA,3,1,1479,Residential,188741
8317 SUNNY CREEK WAY,SACRAMENTO,CA,3,2,1420,Residential,189000
2617 BASS CT,SACRAMENTO,CA,3,2,1280,Residential,192067
7005 TIANT WAY,ELK GROVE,CA,3,2,1586,Residential,194000
7895 CABER WAY,ANTELOPE,CA,3,2,1362,Residential,194818
7624 BOGEY CT,SACRAMENTO,CA,4,4,2162,Multi-Family,195000
6930 HAMPTON COVE WAY,SACRAMENTO,CA,3,2,1266,Residential,198000
8708 MESA BROOK WAY,ELK GROVE,CA,4,2,1715,Residential,199500
120 GRANT LN,FOLSOM,CA,3,2,1820,Residential,200000
5907 ELLERSLEE DR,CARMICHAEL,CA,3,1,936,Residential,200000
17 SERASPI CT,SACRAMENTO,CA,0,0,0,Residential,206000
170 PENHOW CIR,SACRAMENTO,CA,3,2,1511,Residential,208000
8345 STAR THISTLE WAY,SACRAMENTO,CA,4,2,1590,Residential,212864
9080 FRESCA WAY,ELK GROVE,CA,4,2,1596,Residential,221000
391 NATALINO CIR,SACRAMENTO,CA,2,2,1341,Residential,221000
8373 BLACKMAN WAY,ELK GROVE,CA,5,3,2136,Residential,223058
9837 CORTE DORADO CT,ELK GROVE,CA,4,2,1616,Residential,227887
5037 J PKWY,SACRAMENTO,CA,3,2,1478,Residential,231477
10245 LOS PALOS DR,RANCHO CORDOVA,CA,3,2,1287,Residential,234697
6613 NAVION DR,CITRUS HEIGHTS,CA,4,2,1277,Residential,235000
2887 AZEVEDO DR,SACRAMENTO,CA,4,2,1448,Residential,236000
9186 KINBRACE CT,SACRAMENTO,CA,4,3,2235,Residential,236685
4243 MIDDLEBURY WAY,MATHER,CA,3,2,2093,Residential,237800
1028 FALLON PLACE CT,RIO LINDA,CA,3,2,1193,Residential,240122
4804 NORIKER DR,ELK GROVE,CA,3,2,2163,Residential,242638
7713 HARVEST WOODS DR,SACRAMENTO,CA,3,2,1269,Residential,244000
2866 KARITSA AVE,SACRAMENTO,CA,0,0,0,Residential,244500
6913 RICHEVE WAY,SACRAMENTO,CA,3,1,958,Residential,244960
8636 TEGEA WAY,ELK GROVE,CA,5,3,2508,Residential,245918
5448 MAIDSTONE WAY,CITRUS HEIGHTS,CA,3,2,1305,Residential,250000
18 OLLIE CT,ELK GROVE,CA,4,2,1591,Residential,250000
4010 ALEX LN,CARMICHAEL,CA,2,2,1326,Condo,250134
4901 MILLNER WAY,ELK GROVE,CA,3,2,1843,Residential,254200
4818 BRITTNEY LEE CT,SACRAMENTO,CA,4,2,1921,Residential,254200
5529 LAGUNA PARK DR,ELK GROVE,CA,5,3,2790,Residential,258000
230 CANDELA CIR,SACRAMENTO,CA,3,2,1541,Residential,260000
4900 71ST ST,SACRAMENTO,CA,3,1,1018,Residential,260014
12209 CONSERVANCY WAY,RANCHO CORDOVA,CA,0,0,0,Residential,263500
4236 NATOMAS CENTRAL DR,SACRAMENTO,CA,3,2,1672,Condo,265000
5615 LUPIN LN,POLLOCK PINES,CA,3,2,1380,Residential,265000
5625 JAMES WAY,SACRAMENTO,CA,3,1,975,Residential,271742
7842 LAHONTAN CT,SACRAMENTO,CA,4,3,2372,Residential,273750
6850 21ST ST,SACRAMENTO,CA,3,2,1446,Residential,275086
2900 BLAIR RD,POLLOCK PINES,CA,2,2,1284,Residential,280908
2064 EXPEDITION WAY,SACRAMENTO,CA,4,3,3009,Residential,280987
2912 NORCADE CIR,SACRAMENTO,CA,8,4,3612,Multi-Family,282400
9507 SEA CLIFF WAY,ELK GROVE,CA,4,2,2056,Residential,285000
8882 AUTUMN GOLD CT,ELK GROVE,CA,4,2,1993,Residential,287417
5322 WHITE LOTUS WAY,ELK GROVE,CA,3,2,1857,Residential,291000
1838 CASTRO WAY,SACRAMENTO,CA,2,1,1126,Residential,292024
10158 CRAWFORD WAY,SACRAMENTO,CA,4,4,2213,Multi-Family,297000
7731 MASTERS ST,ELK GROVE,CA,5,3,2494,Residential,297000
4925 PERCHERON DR,ELK GROVE,CA,3,2,1843,Residential,298000
2010 PROMONTORY POINT LN,GOLD RIVER,CA,2,2,1520,Residential,299000
4727 SAVOIE WAY,SACRAMENTO,CA,5,3,2800,Residential,304037
8664 MAGNOLIA HILL WAY,ELK GROVE,CA,4,2,2309,Residential,311000
9570 HARVEST ROSE WAY,SACRAMENTO,CA,5,3,2367,Residential,315537
4359 CREGAN CT,RANCHO CORDOVA,CA,5,4,3516,Residential,320000
5337 DUSTY ROSE WAY,RANCHO CORDOVA,CA,0,0,0,Residential,320000
8929 SUTTERS GOLD DR,SACRAMENTO,CA,4,3,1914,Residential,328360
8025 PEERLESS AVE,ORANGEVALE,CA,2,1,1690,Residential,334150
4620 WELERA WAY,ELK GROVE,CA,3,3,2725,Residential,335750
9723 TERRAPIN CT,ELK GROVE,CA,4,3,2354,Residential,335750
2115 SMOKESTACK WAY,SACRAMENTO,CA,0,0,0,Residential,339500
100 REBECCA WAY,FOLSOM,CA,3,2,2185,Residential,344250
9488 OAK VILLAGE WAY,ELK GROVE,CA,4,2,1801,Residential,346210
8495 DARTFORD DR,SACRAMENTO,CA,3,3,1961,Residential,347029
6708 PONTA DO SOL WAY,ELK GROVE,CA,4,2,3134,Residential,347650
4143 SEA MEADOW WAY,SACRAMENTO,CA,4,3,1915,Residential,351300
3020 RICHARDSON CIR,EL DORADO HILLS,CA,3,2,0,Residential,352000
8082 LINDA ISLE LN,SACRAMENTO,CA,0,0,0,Residential,370000
15300 MURIETA SOUTH PKWY,RANCHO MURIETA,CA,4,3,2734,Residential,370500
11215 SHARRMONT CT,WILTON,CA,3,2,2110,Residential,372000
7105 DANBERG WAY,ELK GROVE,CA,5,3,3164,Residential,375000
5579 JERRY LITELL WAY,SACRAMENTO,CA,5,3,3599,Residential,381300
1050 FOXHALL WAY,SACRAMENTO,CA,4,2,2054,Residential,381942
7837 ABBINGTON WAY,ANTELOPE,CA,4,2,1830,Residential,387731
1300 F ST,SACRAMENTO,CA,3,3,1627,Residential,391000
6801 RAWLEY WAY,ELK GROVE,CA,4,3,3440,Residential,394470
1693 SHELTER COVE DR,GREENWOOD,CA,3,2,2846,Residential,395000
9361 WADDELL LN,ELK GROVE,CA,4,3,2359,Residential,400186
10 SEA FOAM CT,SACRAMENTO,CA,3,3,2052,Residential,415000
6945 RIO TEJO WAY,ELK GROVE,CA,5,3,3433,Residential,425000
4186 TULIP PARK WAY,RANCHO CORDOVA,CA,5,3,3615,Residential,430000
9278 DAIRY CT,ELK GROVE,CA,0,0,0,Residential,445000
207 ORANGE BLOSSOM CIR Unit C,FOLSOM,CA,5,3,2687,Residential,460000
6507 RIO DE ONAR WAY,ELK GROVE,CA,4,3,2724,Residential,461000
7004 RAWLEY WAY,ELK GROVE,CA,4,3,3440,Residential,489332
6503 RIO DE ONAR WAY,ELK GROVE,CA,5,4,3508,Residential,510000
2217 APPALOOSA CT,FOLSOM,CA,4,2,2462,Residential,539000
868 HILDEBRAND CIR,FOLSOM,CA,0,0,0,Residential,585000
6030 PALERMO WAY,EL DORADO HILLS,CA,4,3,0,Residential,600000
4070 REDONDO DR,EL DORADO HILLS,CA,4,3,0,Residential,606238
4004 CRESTA WAY,SACRAMENTO,CA,3,3,2325,Residential,660000
315 JUMEL CT,EL DORADO HILLS,CA,6,5,0,Residential,830000
6272 LONGFORD DR Unit 1,CITRUS HEIGHTS,CA,2,1,795,Condo,69000
3432 Y ST,SACRAMENTO,CA,4,2,1099,Residential,70000
9512 EMERALD PARK DR Unit 3,ELK GROVE,CA,2,1,840,Condo,71000
3132 CLAY ST,SACRAMENTO,CA,2,1,800,Residential,78000
5221 38TH AVE,SACRAMENTO,CA,2,1,746,Residential,78400
6112 HERMOSA ST,SACRAMENTO,CA,3,1,1067,Residential,80000
483 ARCADE BLVD,SACRAMENTO,CA,4,2,1316,Residential,89000
671 SONOMA AVE,SACRAMENTO,CA,3,1,1337,Residential,90000
5980 79TH ST,SACRAMENTO,CA,2,1,868,Residential,90000
7607 ELDER CREEK RD,SACRAMENTO,CA,3,1,924,Residential,92000
5028 14TH AVE,SACRAMENTO,CA,2,1,610,Residential,93675
14788 NATCHEZ CT,RANCHO MURIETA,CA,0,0,0,Residential,97750
1069 ACACIA AVE,SACRAMENTO,CA,2,1,1220,Residential,98000
5201 LAGUNA OAKS DR Unit 199,ELK GROVE,CA,1,1,722,Condo,98000
3847 LAS PASAS WAY,SACRAMENTO,CA,3,1,1643,Residential,99000
5201 LAGUNA OAKS DR Unit 172,ELK GROVE,CA,1,1,722,Condo,100000
1121 CREEKSIDE WAY,GALT,CA,3,1,1080,Residential,106716
5307 CABRILLO WAY,SACRAMENTO,CA,3,1,1039,Residential,111000
3725 DON JULIO BLVD,NORTH HIGHLANDS,CA,3,1,1051,Residential,111000
4803 MCCLOUD DR,SACRAMENTO,CA,2,2,967,Residential,114800
10542 SILVERWOOD WAY,RANCHO CORDOVA,CA,3,1,1098,Residential,120108
6318 39TH AVE,SACRAMENTO,CA,3,1,1050,Residential,123225
211 MCDANIEL CIR,SACRAMENTO,CA,3,2,1110,Residential,123750
3800 LYNHURST WAY,NORTH HIGHLANDS,CA,3,1,888,Residential,125000
6139 HERMOSA ST,SACRAMENTO,CA,3,2,1120,Residential,125000
2505 RHINE WAY,ELVERTA,CA,3,2,1080,Residential,126000
3692 PAYNE WAY,NORTH HIGHLANDS,CA,3,1,957,Residential,129000
604 MORRISON AVE,SACRAMENTO,CA,2,1,952,Residential,134000
648 SANTA ANA AVE,SACRAMENTO,CA,3,2,1211,Residential,135000
14 ASHLEY OAKS CT,SACRAMENTO,CA,3,2,1264,Residential,135500
3174 NORTHVIEW DR,SACRAMENTO,CA,3,1,1080,Residential,140000
840 TRANQUIL LN,GALT,CA,3,2,1266,Residential,140000
5333 PRIMROSE DR Unit 19A,FAIR OAKS,CA,2,2,994,Condo,142500
1035 MILLET WAY,SACRAMENTO,CA,3,2,1202,Residential,143500
5201 LAGUNA OAKS DR Unit 126,ELK GROVE,CA,0,0,0,Condo,145000
3328 22ND AVE,SACRAMENTO,CA,2,1,722,Residential,145000
8001 HARTWICK WAY,SACRAMENTO,CA,4,2,1448,Residential,145000
7812 HARTWICK WAY,SACRAMENTO,CA,3,2,1188,Residential,145000
4207 PAINTER WAY,NORTH HIGHLANDS,CA,4,2,1183,Residential,146000
7458 WINKLEY WAY,SACRAMENTO,CA,3,1,1320,Residential,148500
8354 SUNRISE WOODS WAY,SACRAMENTO,CA,3,2,1117,Residential,149000
8116 COTTONMILL CIR,SACRAMENTO,CA,3,2,1364,Residential,150000
4660 CEDARWOOD WAY,SACRAMENTO,CA,4,2,1310,Residential,150000
9254 HARROGATE WAY,ELK GROVE,CA,2,2,1006,Residential,152000
6716 TAREYTON WAY,CITRUS HEIGHTS,CA,3,2,1104,Residential,156000
2028 ROBERT WAY,SACRAMENTO,CA,2,1,810,Residential,156000
9346 AIZENBERG CIR,ELK GROVE,CA,2,2,1123,Residential,156000
4524 LOCH HAVEN WAY,SACRAMENTO,CA,2,1,904,Residential,157788
7140 BLUE SPRINGS WAY,CITRUS HEIGHTS,CA,3,2,1156,Residential,161653
4631 11TH AVE,SACRAMENTO,CA,2,1,1321,Residential,161829
3228 BAGGAN CT,ANTELOPE,CA,3,2,1392,Residential,165000
8515 DARTFORD DR,SACRAMENTO,CA,3,2,1439,Residential,168000
4500 TIPPWOOD WAY,SACRAMENTO,CA,3,2,1159,Residential,169000
2460 EL ROCCO WAY,RANCHO CORDOVA,CA,3,2,1671,Residential,175000
8244 SUNBIRD WAY,SACRAMENTO,CA,3,2,1740,Residential,176250
5841 VALLEY VALE WAY,SACRAMENTO,CA,3,2,1265,Residential,179000
7863 CRESTLEIGH CT,ANTELOPE,CA,2,2,1007,Residential,180000
7129 SPRINGMONT DR,ELK GROVE,CA,3,2,1716,Residential,180400
8284 RED FOX WAY,ELK GROVE,CA,4,2,1685,Residential,182000
2219 EL CANTO CIR,RANCHO CORDOVA,CA,4,2,1829,Residential,184500
8907 GEMWOOD WAY,ELK GROVE,CA,3,2,1555,Residential,185000
5925 MALEVILLE AVE,CARMICHAEL,CA,4,2,1120,Residential,189000
7031 CANEVALLEY CIR,CITRUS HEIGHTS,CA,3,2,1137,Residential,194000
3949 WILDROSE WAY,SACRAMENTO,CA,3,1,1174,Residential,195000
4437 MITCHUM CT,ANTELOPE,CA,3,2,1393,Residential,200000
2778 KAWEAH CT,CAMERON PARK,CA,3,1,0,Residential,201000
1636 ALLENWOOD CIR,LINCOLN,CA,4,2,0,Residential,202500
8151 QUAIL RIDGE CT,SACRAMENTO,CA,3,2,1289,Residential,205000
4899 WIND CREEK DR,SACRAMENTO,CA,4,2,1799,Residential,205000
2370 BIG CANYON CREEK RD,PLACERVILLE,CA,3,2,0,Residential,205000
6049 HAMBURG WAY,SACRAMENTO,CA,4,3,1953,Residential,205000
4232 71ST ST,SACRAMENTO,CA,2,1,723,Residential,207000
3361 BOW MAR CT,CAMERON PARK,CA,2,2,0,Residential,210000
1889 COLD SPRINGS RD,PLACERVILLE,CA,2,1,948,Residential,211500
5805 HIMALAYA WAY,CITRUS HEIGHTS,CA,4,2,1578,Residential,215000
7944 SYLVAN OAK WAY,CITRUS HEIGHTS,CA,3,2,1317,Residential,215000
3139 SPOONWOOD WAY Unit 1,SACRAMENTO,CA,0,0,0,Residential,215500
6217 LEOLA WAY,SACRAMENTO,CA,3,1,1360,Residential,222381
2340 HURLEY WAY,SACRAMENTO,CA,0,0,0,Condo,225000
3035 BRUNNET LN,SACRAMENTO,CA,3,2,1522,Residential,225000
3025 EL PRADO WAY,SACRAMENTO,CA,4,2,1751,Residential,225000
9387 GRANITE FALLS CT,ELK GROVE,CA,3,2,1465,Residential,225000
9257 CALDERA WAY,SACRAMENTO,CA,4,2,1605,Residential,228000
441 ARLINGDALE CIR,RIO LINDA,CA,4,2,1475,Residential,229665
2284 LOS ROBLES RD,MEADOW VISTA,CA,3,1,1216,Residential,230000
8164 CHENIN BLANC LN,FAIR OAKS,CA,2,2,1315,Residential,230000
4620 CHAMBERLIN CIR,ELK GROVE,CA,3,2,1567,Residential,230000
5340 BIRK WAY,SACRAMENTO,CA,3,2,1776,Residential,234000
51 ANJOU CIR,SACRAMENTO,CA,3,2,2187,Residential,235000
2125 22ND AVE,SACRAMENTO,CA,3,1,1291,Residential,236250
611 BLOSSOM ROCK LN,FOLSOM,CA,0,0,0,Condo,240000
8830 ADUR RD,ELK GROVE,CA,0,0,0,Residential,242000
7344 BUTTERBALL WAY,SACRAMENTO,CA,3,2,1503,Residential,245000
8219 GWINHURST CIR,SACRAMENTO,CA,4,3,2491,Residential,245000
3240 S ST,SACRAMENTO,CA,2,1,1269,Residential,245000
221 PICASSO CIR,SACRAMENTO,CA,0,0,0,Residential,250000
5706 GREENACRES WAY,ORANGEVALE,CA,3,2,1176,Residential,250000
6900 LONICERA DR,ORANGEVALE,CA,4,2,1456,Residential,250000
419 DAWNRIDGE RD,ROSEVILLE,CA,3,2,1498,Residential,250000
5312 MARBURY WAY,ANTELOPE,CA,3,2,1574,Residential,255000
6344 BONHAM CIR,CITRUS HEIGHTS,CA,5,4,2085,Multi-Family,256054
8207 YORKTON WAY,SACRAMENTO,CA,3,2,2170,Residential,257729
7922 MANSELL WAY,ELK GROVE,CA,4,2,1595,Residential,260000
5712 MELBURY CIR,ANTELOPE,CA,3,2,1567,Residential,261000
632 NEWBRIDGE LN,LINCOLN,CA,4,2,0,Residential,261800
1570 GLIDDEN AVE,SACRAMENTO,CA,4,2,1253,Residential,264469
8108 FILIFERA WAY,ANTELOPE,CA,4,3,1768,Residential,265000
230 BANKSIDE WAY,SACRAMENTO,CA,0,0,0,Residential,270000
5342 CALABRIA WAY,SACRAMENTO,CA,4,3,2030,Residential,270000
47 NAPONEE CT,SACRAMENTO,CA,3,2,1531,Residential,270000
4236 ADRIATIC SEA WAY,SACRAMENTO,CA,0,0,0,Residential,270000
8864 REMBRANT CT,ELK GROVE,CA,4,3,1653,Residential,275000
9455 SEA CLIFF WAY,ELK GROVE,CA,4,2,2056,Residential,275000
9720 LITTLE HARBOR WAY,ELK GROVE,CA,4,3,2494,Residential,280000
8806 PHOENIX AVE,FAIR OAKS,CA,3,2,1450,Residential,286013
3578 LOGGERHEAD WAY,SACRAMENTO,CA,4,2,2169,Residential,292000
1416 LOCKHART WAY,ROSEVILLE,CA,3,2,1440,Residential,292000
5413 BUENA VENTURA WAY,FAIR OAKS,CA,3,2,1527,Residential,293993
37 WHITE BIRCH CT,ROSEVILLE,CA,3,2,1401,Residential,294000
405 MARLIN SPIKE WAY,SACRAMENTO,CA,3,2,1411,Residential,296769
1102 CHESLEY LN,LINCOLN,CA,4,4,0,Residential,297500
11281 STANFORD COURT LN Unit 604,GOLD RIVER,CA,0,0,0,Condo,300000
7320 6TH ST,RIO LINDA,CA,3,1,1284,Residential,300000
993 MANTON CT,GALT,CA,4,3,2307,Residential,300000
4487 PANORAMA DR,PLACERVILLE,CA,3,2,1329,Residential,300000
5651 OVERLEAF WAY,SACRAMENTO,CA,4,2,1910,Residential,300500
2015 PROMONTORY POINT LN,GOLD RIVER,CA,3,2,1981,Residential,305000
3224 PARKHAM DR,ROSEVILLE,CA,0,0,0,Residential,306500
15 VANESSA PL,SACRAMENTO,CA,0,0,0,Residential,312500
1312 RENISON LN,LINCOLN,CA,5,3,0,Residential,315000
8 RIVER RAFT CT,SACRAMENTO,CA,4,2,2205,Residential,319789
2251 LAMPLIGHT LN,LINCOLN,CA,2,2,1449,Residential,330000
106 FARHAM DR,FOLSOM,CA,3,2,1258,Residential,330000
5405 NECTAR CIR,ELK GROVE,CA,3,2,2575,Residential,331000
5411 10TH AVE,SACRAMENTO,CA,2,1,539,Residential,334000
3512 RAINSONG CIR,RANCHO CORDOVA,CA,4,3,2208,Residential,336000
1106 55TH ST,SACRAMENTO,CA,3,1,1108,Residential,339000
411 ILLSLEY WAY,FOLSOM,CA,4,2,1595,Residential,339000
796 BUTTERCUP CIR,GALT,CA,4,2,2159,Residential,345000
1230 SANDRA CIR,PLACERVILLE,CA,4,3,2295,Residential,350000
318 ANACAPA DR,ROSEVILLE,CA,3,2,1838,Residential,356000
3975 SHINING STAR DR,SACRAMENTO,CA,4,2,1900,Residential,361745
1620 BASLER ST,SACRAMENTO,CA,4,2,1718,Residential,361948
9688 NATURE TRAIL WAY,ELK GROVE,CA,5,3,3389,Residential,370000
5924 TANUS CIR,ROCKLIN,CA,4,2,0,Residential,380000
9629 CEDAR OAK WAY,ELK GROVE,CA,5,4,3260,Residential,385000
3429 FERNBROOK CT,CAMERON PARK,CA,3,2,2016,Residential,399000
2121 HANNAH WAY,ROCKLIN,CA,4,2,2607,Residential,402000
10104 ANNIE ST,ELK GROVE,CA,4,3,2724,Residential,406026
1092 MAUGHAM CT,GALT,CA,5,4,3746,Residential,420000
5404 ALMOND FALLS WAY,RANCHO CORDOVA,CA,0,0,0,Residential,425000
6306 CONEJO,RANCHO MURIETA,CA,4,2,3192,Residential,425000
14 CASA VATONI PL,SACRAMENTO,CA,0,0,0,Residential,433500
1456 EAGLESFIELD LN,LINCOLN,CA,4,3,0,Residential,436746
4100 BOTHWELL CIR,EL DORADO HILLS,CA,5,3,0,Residential,438700
427 21ST ST,SACRAMENTO,CA,2,1,1247,Residential,445000
1044 GALSTON DR,FOLSOM,CA,4,2,2581,Residential,450000
4440 SYCAMORE AVE,SACRAMENTO,CA,3,1,2068,Residential,460000
1032 SOUZA DR,EL DORADO HILLS,CA,3,2,0,Residential,460000
9760 LAZULITE CT,ELK GROVE,CA,4,3,3992,Residential,460000
241 LANFRANCO CIR,SACRAMENTO,CA,4,4,3397,Residential,465000
5559 NORTHBOROUGH DR,SACRAMENTO,CA,5,3,3881,Residential,471750
2125 BIG SKY DR,ROCKLIN,CA,5,3,0,Residential,480000
2109 HAMLET PL,CARMICHAEL,CA,2,2,1598,Residential,484000
9970 STATE HIGHWAY 193,PLACERVILLE,CA,4,3,1929,Residential,485000
2901 PINTAIL WAY,ELK GROVE,CA,4,3,3070,Residential,495000
