street,city,state,beds,baths,sq__ft,type,price
201 FIRESTONE DR,ROSEVILLE,CA,0,0,0,Residential,500500
1740 HIGH ST,AUBURN,CA,3,3,0,Residential,504000
2733 DANA LOOP,EL DORADO HILLS,CA,0,0,0,Residential,541000
9741 SADDLEBRED CT,WILTON,CA,0,0,0,Residential,560000
7756 TIGERWOODS DR,SACRAMENTO,CA,5,3,3984,Residential,572500
5709 RIVER OAK WAY,CARMICHAEL,CA,4,2,2222,Residential,582000
2981 WRINGER DR,ROSEVILLE,CA,4,3,3838,Residential,613401
8616 ROCKPORTE CT,ROSEVILLE,CA,4,2,0,Residential,614000
4128 HILL ST,FAIR OAKS,CA,5,5,2846,Residential,680000
1409 47TH ST,SACRAMENTO,CA,5,2,2484,Residential,699000
3935 EL MONTE DR,LOOMIS,CA,4,4,1624,Residential,839000
5840 WALERGA RD,SACRAMENTO,CA,2,1,840,Condo,40000
923 FULTON AVE,SACRAMENTO,CA,1,1,484,Condo,48000
261 REDONDO AVE,SACRAMENTO,CA,3,1,970,Residential,61500
4030 BROADWAY,SACRAMENTO,CA,2,1,623,Residential,62050
3660 22ND AVE,SACRAMENTO,CA,2,1,932,Residential,65000
3924 HIGH ST,SACRAMENTO,CA,2,1,796,Residential,65000
4734 14TH AVE,SACRAMENTO,CA,2,1,834,Residential,68000
4734 14TH AVE,SACRAMENTO,CA,2,1,834,Residential,68000
5050 RHODE ISLAND DR Unit 4,SACRAMENTO,CA,2,1,924,Condo,77000
4513 GREENHOLME DR,SACRAMENTO,CA,2,1,795,Condo,82732
3845 ELM ST,SACRAMENTO,CA,3,1,1250,Residential,84000
3908 17TH AVE,SACRAMENTO,CA,2,1,984,Residential,84675
7109 CHANDLER DR,SACRAMENTO,CA,3,1,1013,Residential,85000
7541 SKELTON WAY,SACRAMENTO,CA,3,1,1012,Residential,90000
9058 MONTOYA ST,SACRAMENTO,CA,2,1,795,Condo,90000
1016 CONGRESS AVE,SACRAMENTO,CA,2,2,918,Residential,91000
540 MORRISON AVE,SACRAMENTO,CA,3,1,1082,Residential,95000
5303 JERRETT WAY,SACRAMENTO,CA,2,1,964,Residential,97500
2820 DEL PASO BLVD,SACRAMENTO,CA,4,2,1404,Multi-Family,100000
3715 TALLYHO DR Unit 78HIGH,SACRAMENTO,CA,1,1,625,Condo,100000
6013 ROWAN WAY,CITRUS HEIGHTS,CA,2,1,888,Residential,101000
2987 PONDEROSA LN,SACRAMENTO,CA,4,2,1120,Residential,102750
3732 LANKERSHIM WAY,NORTH HIGHLANDS,CA,3,1,1331,Residential,112500
2216 DUNLAP DR,SACRAMENTO,CA,3,1,1014,Residential,113000
3503 21ST AVE,SACRAMENTO,CA,4,2,1448,Residential,114000
523 EXCHANGE ST,SACRAMENTO,CA,3,1,966,Residential,114000
8101 PORT ROYALE WAY,SACRAMENTO,CA,2,1,779,Residential,114750
8020 WALERGA RD,ANTELOPE,CA,2,2,836,Condo,115000
167 VALLEY OAK DR,ROSEVILLE,CA,2,2,1100,Condo,115000
7876 BURLINGTON WAY,SACRAMENTO,CA,3,1,1174,Residential,116100
3726 JONKO AVE,NORTH HIGHLANDS,CA,3,2,1207,Residential,119250
7342 GIGI PL,SACRAMENTO,CA,4,4,1995,Multi-Family,120000
2610 PHYLLIS AVE,SACRAMENTO,CA,2,1,804,Residential,120000
4200 COMMERCE WAY Unit 711,SACRAMENTO,CA,2,2,958,Condo,120000
4621 COUNTRY SCENE WAY,SACRAMENTO,CA,3,2,1366,Residential,120108
5380 VILLAGE WOOD DR,SACRAMENTO,CA,2,2,901,Residential,121500
2621 EVERGREEN ST,SACRAMENTO,CA,3,1,696,Residential,121725
201 CARLO CT,GALT,CA,3,2,1080,Residential,122000
6743 21ST ST,SACRAMENTO,CA,3,2,1104,Residential,123000
3128 VIA GRANDE,SACRAMENTO,CA,2,1,972,Residential,125000
2847 BELGRADE WAY,SACRAMENTO,CA,4,2,1390,Residential,125573
7741 MILLDALE CIR,ELVERTA,CA,4,2,1354,Residential,126714
9013 CASALS ST,SACRAMENTO,CA,2,1,795,Condo,126960
227 MAHAN CT Unit 1,ROSEVILLE,CA,2,1,780,Condo,127000
7349 FLETCHER FARM DR,SACRAMENTO,CA,4,2,1587,Residential,127500
7226 LARCHMONT DR,NORTH HIGHLANDS,CA,3,2,1209,Residential,130000
4114 35TH AVE,SACRAMENTO,CA,2,1,1139,Residential,133105
617 M ST,RIO LINDA,CA,2,2,1690,Residential,136500
7032 FAIR OAKS BLVD,CARMICHAEL,CA,3,2,1245,Condo,139500
2421 SANTINA WAY,ELVERTA,CA,3,2,1416,Residential,140000
2368 CRAIG AVE,SACRAMENTO,CA,3,2,1300,Residential,140800
2123 AMANDA WAY,SACRAMENTO,CA,3,2,1120,Residential,145000
7620 DARLA WAY,SACRAMENTO,CA,4,2,1590,Residential,147000
8344 FIELDPOPPY CIR,SACRAMENTO,CA,3,2,1407,Residential,149600
3624 20TH AVE,SACRAMENTO,CA,5,2,1516,Residential,150000
10001 WOODCREEK OAKS BLVD Unit 1415,ROSEVILLE,CA,2,2,0,Condo,150000
2848 PROVO WAY,SACRAMENTO,CA,3,2,1646,Residential,150000
6045 EHRHARDT AVE,SACRAMENTO,CA,3,2,1676,Residential,155000
1223 LAMBERTON CIR,SACRAMENTO,CA,3,2,1370,Residential,155435
1223 LAMBERTON CIR,SACRAMENTO,CA,3,2,1370,Residential,155500
6000 BIRCHGLADE WAY,CITRUS HEIGHTS,CA,4,2,1351,Residential,158000
7204 THOMAS DR,NORTH HIGHLANDS,CA,3,2,1152,Residential,158000
8363 LANGTREE WAY,SACRAMENTO,CA,3,2,1452,Residential,160000
1675 VERNON ST Unit 8,ROSEVILLE,CA,2,1,990,Residential,160000
6632 IBEX WOODS CT,CITRUS HEIGHTS,CA,2,2,1162,Residential,164000
117 EVCAR WAY,RIO LINDA,CA,3,2,1182,Residential,164000
6485 LAGUNA MIRAGE LN,ELK GROVE,CA,2,2,1112,Residential,165000
746 MOOSE CREEK WAY,GALT,CA,3,2,1100,Residential,167000
8306 CURLEW CT,CITRUS HEIGHTS,CA,4,2,1280,Residential,167293
8306 CURLEW CT,CITRUS HEIGHTS,CA,4,2,1280,Residential,167293
5217 ARGO WAY,SACRAMENTO,CA,3,1,1039,Residential,168000
7108 HEATHER TREE DR,SACRAMENTO,CA,3,2,1159,Residential,170000
2956 DAVENPORT WAY,SACRAMENTO,CA,4,2,1917,Residential,170000
10062 LINCOLN VILLAGE DR,SACRAMENTO,CA,3,2,1520,Residential,170000
332 PALIN AVE,GALT,CA,3,2,1204,Residential,174000
4649 FREEWAY CIR,SACRAMENTO,CA,3,2,1120,Residential,178000
8593 DERLIN WAY,SACRAMENTO,CA,3,2,1436,Residential,180000
9273 PREMIER WAY,SACRAMENTO,CA,3,2,1451,Residential,180000
8032 DUSENBERG CT,SACRAMENTO,CA,4,2,1638,Residential,180000
7110 STELLA LN Unit 15,CARMICHAEL,CA,2,2,1000,Condo,182000
1786 PIEDMONT WAY,ROSEVILLE,CA,3,1,1152,Residential,188325
1347 HIDALGO CIR,ROSEVILLE,CA,3,2,1154,Residential,191500
212 CAPPUCINO WAY,SACRAMENTO,CA,3,2,1353,Residential,192000
5938 WOODBRIAR WAY,CITRUS HEIGHTS,CA,3,2,1329,Residential,192700
3801 WILDROSE WAY,SACRAMENTO,CA,3,1,1356,Residential,195000
508 SAMUEL WAY,SACRAMENTO,CA,3,2,1505,Residential,197654
6128 CARL SANDBURG CIR,SACRAMENTO,CA,3,1,1009,Residential,198000
1 KENNELFORD CIR,SACRAMENTO,CA,3,2,1144,Residential,200345
909 SINGINGWOOD RD,SACRAMENTO,CA,2,1,930,Residential,203000
6671 FOXWOOD CT,SACRAMENTO,CA,4,2,1766,Residential,207000
8165 AYN RAND CT,SACRAMENTO,CA,4,3,1940,Residential,208000
9474 VILLAGE TREE DR,ELK GROVE,CA,4,2,1776,Residential,210000
7213 CALVIN DR,CITRUS HEIGHTS,CA,3,1,1258,Residential,212000
8167 DERBY PARK CT,SACRAMENTO,CA,4,2,1872,Residential,213675
6344 LAGUNA MIRAGE LN,ELK GROVE,CA,2,2,1112,Residential,213697
2945 RED HAWK WAY,SACRAMENTO,CA,4,2,1856,Residential,215000
3228 I ST,SACRAMENTO,CA,4,3,1939,Residential,215000
308 ATKINSON ST,ROSEVILLE,CA,3,1,998,Residential,215100
624 HOVEY WAY,ROSEVILLE,CA,3,2,1758,Residential,217500
110 COPPER LEAF WAY,SACRAMENTO,CA,3,2,2142,Residential,218000
7535 ALMA VISTA WAY,SACRAMENTO,CA,2,1,950,Residential,220000
7423 WILSALL CT,ELK GROVE,CA,4,3,1739,Residential,221000
8629 VIA ALTA WAY,ELK GROVE,CA,3,2,1516,Residential,222900
3318 DAVIDSON DR,ANTELOPE,CA,3,1,988,Residential,223139
913 COBDEN CT,GALT,CA,4,2,1555,Residential,225500
4419 79TH ST,SACRAMENTO,CA,3,2,1212,Residential,228327
3012 SPOONWOOD WAY,SACRAMENTO,CA,4,2,1871,Residential,230000
8728 CRYSTAL RIVER WAY,SACRAMENTO,CA,3,2,1302,Residential,230000
4709 AMBER LN Unit 1,SACRAMENTO,CA,2,1,756,Condo,230522
4508 OLD DAIRY DR,ANTELOPE,CA,4,3,2026,Residential,231200
312 RIVER ISLE WAY,SACRAMENTO,CA,3,2,1375,Residential,232000
301 OLIVADI WAY,SACRAMENTO,CA,2,2,1250,Condo,232500
5636 25TH ST,SACRAMENTO,CA,3,1,1058,Residential,233641
8721 SPRUCE RIDGE WAY,ANTELOPE,CA,3,2,1187,Residential,234000
7461 WINDBRIDGE DR,SACRAMENTO,CA,2,2,1324,Residential,234500
8101 LEMON COVE CT,SACRAMENTO,CA,4,3,1936,Residential,235000
10949 SCOTSMAN WAY,RANCHO CORDOVA,CA,5,4,2382,Multi-Family,236000
617 WILLOW CREEK DR,FOLSOM,CA,3,2,1427,Residential,236073
3301 PARK DR Unit 1914,SACRAMENTO,CA,3,2,1678,Condo,238000
709 CIMMARON CT,GALT,CA,4,2,1798,Residential,238861
3305 RIO ROCA CT,ANTELOPE,CA,4,3,2652,Residential,239700
9080 BEDROCK CT,SACRAMENTO,CA,4,2,1816,Residential,240000
100 TOURMALINE CIR,SACRAMENTO,CA,5,3,3076,Residential,240000
6411 RED BIRCH WAY,ELK GROVE,CA,4,2,1844,Residential,241000
4867 LAGUNA DR,SACRAMENTO,CA,3,2,1306,Residential,245000
3662 RIVER DR,SACRAMENTO,CA,4,3,2447,Residential,246000
6943 WOLFGRAM WAY,SACRAMENTO,CA,4,2,1176,Residential,247234
77 RINETTI WAY,RIO LINDA,CA,4,2,1182,Residential,247480
1316 I ST,RIO LINDA,CA,3,1,1160,Residential,249862
2130 CATHERWOOD WAY,SACRAMENTO,CA,3,2,1424,Residential,251000
8304 JUGLANS DR,ORANGEVALE,CA,4,2,1574,Residential,252155
5308 MARBURY WAY,ANTELOPE,CA,3,2,1830,Residential,254172
9182 LAKEMONT DR,ELK GROVE,CA,4,2,1724,Residential,258000
2231 COUNTRY VILLA CT,AUBURN,CA,2,2,1255,Condo,260000
8491 CRYSTAL WALK CIR,ELK GROVE,CA,0,0,0,Residential,261000
361 MAHONIA CIR,SACRAMENTO,CA,4,3,2175,Residential,261000
3427 LA CADENA WAY,SACRAMENTO,CA,4,2,1904,Residential,261000
955 BIG SUR CT,EL DORADO HILLS,CA,4,2,1808,Residential,262500
11826 DIONYSUS WAY,RANCHO CORDOVA,CA,4,2,2711,Residential,266000
5847 DEL CAMPO LN,CARMICHAEL,CA,3,1,1713,Residential,266000
5635 FOXVIEW WAY,ELK GROVE,CA,3,2,1457,Residential,270000
10372 VIA CINTA CT,ELK GROVE,CA,4,3,2724,Residential,274425
6286 LONETREE BLVD,ROCKLIN,CA,0,0,0,Residential,274500
7744 SOUTHBREEZE DR,SACRAMENTO,CA,3,2,1468,Residential,275336
2242 ABLE WAY,SACRAMENTO,CA,4,3,2550,Residential,277980
1042 STARBROOK DR,GALT,CA,4,2,1928,Residential,280000
1219 G ST,SACRAMENTO,CA,3,3,1922,Residential,284686
6220 OPUS CT,CITRUS HEIGHTS,CA,3,2,1343,Residential,284893
5419 HAVENHURST CIR,ROCKLIN,CA,3,2,1510,Residential,285000
220 OLD AIRPORT RD,AUBURN,CA,2,2,960,Multi-Family,285000
4622 MEYER WAY,CARMICHAEL,CA,4,2,1559,Residential,285000
4885 SUMMIT VIEW DR,EL DORADO,CA,3,2,1624,Residential,289000
26 JEANROSS CT,SACRAMENTO,CA,5,3,2992,Residential,295000
4800 MAPLEPLAIN AVE,ELK GROVE,CA,4,2,2109,Residential,296000
10629 BASIE WAY,RANCHO CORDOVA,CA,4,2,1524,Residential,296056
8612 WILLOW GROVE WAY,SACRAMENTO,CA,3,2,1248,Residential,297359
62 DE FER CIR,SACRAMENTO,CA,4,2,1876,Residential,299940
2513 OLD KENMARE RD,LINCOLN,CA,5,3,0,Residential,304000
3253 ABOTO WAY,RANCHO CORDOVA,CA,4,3,1851,Residential,305000
3072 VILLAGE PLAZA DR,ROSEVILLE,CA,0,0,0,Residential,307000
251 CHANGO CIR,SACRAMENTO,CA,4,2,2218,Residential,311328
8205 WEYBURN CT,SACRAMENTO,CA,3,2,1394,Residential,313138
8788 LA MARGARITA WAY,SACRAMENTO,CA,3,2,1410,Residential,316630
5912 DEEPDALE WAY,ELK GROVE,CA,5,3,3468,Residential,320000
4712 PISMO BEACH DR,ANTELOPE,CA,5,3,2346,Residential,320000
4741 PACIFIC PARK DR,ANTELOPE,CA,5,3,2347,Residential,325000
310 GROTH CIR,SACRAMENTO,CA,4,2,1659,Residential,328578
6121 WILD FOX CT,ELK GROVE,CA,3,3,2442,Residential,331000
12241 CANYONLANDS DR,RANCHO CORDOVA,CA,0,0,0,Residential,331500
29 COOL FOUNTAIN CT,SACRAMENTO,CA,4,2,2155,Residential,340000
907 RIO ROBLES AVE,SACRAMENTO,CA,0,0,0,Residential,344755
8909 BILLFISH WAY,SACRAMENTO,CA,3,2,1810,Residential,345746
6232 GUS WAY,ELK GROVE,CA,4,2,2789,Residential,351000
200 OAKWILDE ST,GALT,CA,4,2,1606,Residential,353767
1033 PARK STREAM DR,GALT,CA,0,0,0,Residential,355000
200 ALLAIRE CIR,SACRAMENTO,CA,4,2,2166,Residential,356035
1322 SUTTER WALK,SACRAMENTO,CA,0,0,0,Condo,360000
5479 NICKMAN WAY,SACRAMENTO,CA,4,2,1871,Residential,360552
2103 BURBERRY WAY,SACRAMENTO,CA,3,2,1800,Residential,362305
2450 SAN JOSE WAY,SACRAMENTO,CA,3,1,1683,Residential,365000
7641 ROSEHALL DR,ROSEVILLE,CA,3,2,0,Residential,367554
1336 LAYSAN TEAL DR,ROSEVILLE,CA,0,0,0,Residential,368500
2802 BLACK OAK DR,ROCKLIN,CA,2,2,1596,Residential,370000
2113 FALL TRAIL CT,PLACERVILLE,CA,4,2,0,Residential,371086
10112 LAMBEAU CT,ELK GROVE,CA,3,2,1179,Residential,378000
6313 CASTRO VERDE WAY,ELK GROVE,CA,0,0,0,Residential,383000
3622 CURTIS DR,SACRAMENTO,CA,3,1,1639,Residential,388000
11817 OPAL RIDGE WAY,RANCHO CORDOVA,CA,5,3,3281,Residential,395100
170 LAGOMARSINO WAY,SACRAMENTO,CA,3,2,1697,Residential,400000
2743 DEAKIN PL,EL DORADO HILLS,CA,3,2,0,Residential,400000
3361 ALDER CANYON WAY,ANTELOPE,CA,4,3,2085,Residential,408431
2148 RANCH VIEW DR,ROCKLIN,CA,0,0,0,Residential,413000
398 LINDLEY DR,SACRAMENTO,CA,4,2,1744,Multi-Family,416767
3013 BRIDLEWOOD DR,EL DORADO HILLS,CA,4,3,0,Residential,420000
169 BAURER CIR,FOLSOM,CA,4,3,1939,Residential,423000
2809 LOON CT,CAMERON PARK,CA,4,2,0,Residential,423000
1315 KONDOS AVE,SACRAMENTO,CA,2,3,1788,Residential,427500
4966 CHARTER RD,ROCKLIN,CA,3,2,1691,Residential,430922
9516 LAGUNA LAKE WAY,ELK GROVE,CA,4,2,2002,Residential,445000
5201 BLOSSOM RANCH DR,ELK GROVE,CA,4,4,4303,Residential,450000
3027 PALMATE WAY,SACRAMENTO,CA,5,3,4246,Residential,452000
500 WINCHESTER CT,ROSEVILLE,CA,3,2,2274,Residential,470000
5746 GELSTON WAY,EL DORADO HILLS,CA,4,3,0,Residential,471000
6935 ELM TREE LN,ORANGEVALE,CA,4,4,3056,Residential,475000
9605 GOLF COURSE LN,ELK GROVE,CA,3,3,2503,Residential,484500
719 BAYWOOD CT,EL DORADO HILLS,CA,5,3,0,Residential,487500
5954 TANUS CIR,ROCKLIN,CA,3,3,0,Residential,488750
100 CHELSEA CT,FOLSOM,CA,3,2,1905,Residential,500000
1500 ORANGE HILL LN,PENRYN,CA,3,2,1320,Residential,506688
408 KIRKWOOD CT,LINCOLN,CA,2,2,0,Residential,512000
1732 TUSCAN GROVE CIR,ROSEVILLE,CA,5,3,0,Residential,520000
2049 EMPIRE MINE CIR,GOLD RIVER,CA,4,2,3037,Residential,528000
9360 MAGOS RD,WILTON,CA,5,2,3741,Residential,579093
104 CATLIN CT,FOLSOM,CA,4,3,2660,Residential,636000
4734 GIBBONS DR,CARMICHAEL,CA,4,3,3357,Residential,668365
4629 DORCHESTER LN,GRANITE BAY,CA,5,3,2896,Residential,676200
2400 COUNTRYSIDE DR,PLACERVILLE,CA,3,2,2025,Residential,677048
12901 FURLONG DR,WILTON,CA,5,3,3788,Residential,691659
6222 CALLE MONTALVO CIR,GRANITE BAY,CA,5,3,3670,Residential,760000
20 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
24 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
28 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
32 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
36 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
40 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
44 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
48 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
52 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
68 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
72 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
76 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
80 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
84 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
88 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
92 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
96 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
100 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
434 1ST ST,LINCOLN,CA,0,0,0,Residential,4897
3 E ST,LINCOLN,CA,0,0,0,Residential,4897
11 E ST,LINCOLN,CA,0,0,0,Residential,4897
19 E ST,LINCOLN,CA,0,0,0,Residential,4897
27 E ST,LINCOLN,CA,0,0,0,Residential,4897
35 E ST,LINCOLN,CA,0,0,0,Residential,4897
43 E ST,LINCOLN,CA,0,0,0,Residential,4897
51 E ST,LINCOLN,CA,4,2,0,Residential,4897
59 E ST,LINCOLN,CA,3,2,0,Residential,4897
75 E ST,LINCOLN,CA,3,2,0,Residential,4897
63 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
398 1ST ST,LINCOLN,CA,0,0,0,Residential,4897
386 1ST ST,LINCOLN,CA,0,0,0,Residential,4897
374 1ST ST,LINCOLN,CA,0,0,0,Residential,4897
116 CRYSTALWOOD WAY,LINCOLN,CA,0,0,0,Residential,4897
108 CRYSTALWOOD WAY,LINCOLN,CA,0,0,0,Residential,4897
100 CRYSTALWOOD WAY,LINCOLN,CA,0,0,0,Residential,4897
55 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
51 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
47 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
43 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
39 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
35 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
31 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
27 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
23 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
19 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
15 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
7 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
7 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
3 CRYSTALWOOD CIR,LINCOLN,CA,0,0,0,Residential,4897
8208 WOODYARD WAY,CITRUS HEIGHTS,CA,3,2,1166,Residential,30000
113 RINETTI WAY,RIO LINDA,CA,0,0,0,Residential,30000
15 LOORZ CT,SACRAMENTO,CA,2,1,838,Residential,55422
5805 DOTMAR WAY,NORTH HIGHLANDS,CA,2,1,904,Residential,63000
2332 CAMBRIDGE ST,SACRAMENTO,CA,2,1,1032,Residential,65000
3812 BELDEN ST,SACRAMENTO,CA,2,1,904,Residential,65000
3348 40TH ST,SACRAMENTO,CA,2,1,1080,Residential,65000
127 QUASAR CIR,SACRAMENTO,CA,2,2,990,Residential,66500
3812 CYPRESS ST,SACRAMENTO,CA,2,1,900,Residential,71000
5821 64TH ST,SACRAMENTO,CA,2,1,861,Residential,75000
8248 CENTER PKWY,SACRAMENTO,CA,2,1,906,Condo,77000
1171 SONOMA AVE,SACRAMENTO,CA,2,1,1011,Residential,85000
4250 ARDWELL WAY,SACRAMENTO,CA,3,2,1089,Residential,95625
3104 CLAY ST,SACRAMENTO,CA,2,1,832,Residential,96140
6063 LAND PARK DR,SACRAMENTO,CA,2,1,800,Condo,104250
4738 OAKHOLLOW DR,SACRAMENTO,CA,4,2,1292,Residential,105000
1401 STERLING ST,SACRAMENTO,CA,2,1,810,Residential,108000
3715 DIDCOT CIR,SACRAMENTO,CA,4,2,1064,Residential,109000
2426 RASHAWN DR,RANCHO CORDOVA,CA,2,1,911,Residential,115000
4800 WESTLAKE PKWY Unit 410,SACRAMENTO,CA,1,1,846,Condo,115000
3409 VIRGO ST,SACRAMENTO,CA,3,2,1320,Residential,115500
1110 PINEDALE AVE,SACRAMENTO,CA,3,2,1410,Residential,115620
2361 LA LOMA DR,RANCHO CORDOVA,CA,3,2,1115,Residential,116000
1455 64TH AVE,SACRAMENTO,CA,3,2,1169,Residential,122000
7328 SPRINGMAN ST,SACRAMENTO,CA,3,2,1164,Residential,122500
119 SAINT MARIE CIR,SACRAMENTO,CA,4,2,1341,Residential,123000
12 COSTA BRASE CT,SACRAMENTO,CA,3,2,1219,Residential,124000
6813 SCOTER WAY,SACRAMENTO,CA,4,2,1127,Residential,124000
6548 GRAYLOCK LN,NORTH HIGHLANDS,CA,3,2,1272,Residential,124413
1630 GLIDDEN AVE,SACRAMENTO,CA,4,2,1253,Residential,125000
7825 DALEWOODS WAY,SACRAMENTO,CA,3,2,1120,Residential,130000
4073 TRESLER AVE,NORTH HIGHLANDS,CA,2,2,1118,Residential,131750
4288 DYMIC WAY,SACRAMENTO,CA,4,3,1890,Residential,137721
1158 SAN IGNACIO WAY,SACRAMENTO,CA,3,2,1260,Residential,137760
4904 J PKWY,SACRAMENTO,CA,3,2,1400,Residential,138000
2931 HOWE AVE,SACRAMENTO,CA,3,1,1264,Residential,140000
5531 JANSEN DR,SACRAMENTO,CA,3,1,1060,Residential,145000
7836 ORCHARD WOODS CIR,SACRAMENTO,CA,2,2,1132,Residential,145000
4055 DEERBROOK DR,SACRAMENTO,CA,3,2,1466,Residential,150000
9937 BURLINE ST,SACRAMENTO,CA,3,2,1092,Residential,150000
6948 MIRADOR WAY,SACRAMENTO,CA,4,2,1628,Residential,151000
4909 RUGER CT,SACRAMENTO,CA,3,2,960,Residential,155000
7204 KERSTEN ST,CITRUS HEIGHTS,CA,3,2,1075,Residential,155800
3150 ROSEMONT DR,SACRAMENTO,CA,3,2,1428,Residential,156142
8200 STEINBECK WAY,SACRAMENTO,CA,4,2,1358,Residential,158000
8198 STEVENSON AVE,SACRAMENTO,CA,6,4,2475,Multi-Family,159900
6824 OLIVE TREE WAY,CITRUS HEIGHTS,CA,3,2,1410,Residential,160000
3536 SUN MAIDEN WAY,ANTELOPE,CA,3,2,1711,Residential,161500
4517 OLYMPIAD WAY,SACRAMENTO,CA,4,2,1483,Residential,161600
925 COBDEN CT,GALT,CA,3,2,1140,Residential,162000
8225 SCOTTSDALE DR,SACRAMENTO,CA,4,2,1549,Residential,165000
8758 LEMAS RD,SACRAMENTO,CA,3,2,1410,Residential,165000
6121 ALPINESPRING WAY,ELK GROVE,CA,3,2,1240,Residential,167293
5937 YORK GLEN WAY,SACRAMENTO,CA,5,2,1712,Residential,168000
6417 SUNNYFIELD WAY,SACRAMENTO,CA,4,2,1580,Residential,168000
